instrument_token,tradingsymbol,exchange,subscribe
341249,HDFCBANK,NSE,1
408065,INFY,NSE,1
1270529,ICICIBANK,NSE,1
3329,ABB,NSE,1
2615553,ADANIENSOL,NSE,1
6401,ADANIENT,NSE,1
912129,ADANIGREEN,NSE,1
3861249,ADANIPORTS,NSE,1
4451329,ADANIPOWER,NSE,1
325121,AMBUJACEM,NSE,1
40193,APOLLOHOSP,NSE,1
60417,ASIANPAINT,NSE,1
5097729,DMART,NSE,1
1510401,AXISBANK,NSE,1
4267265,BAJAJ-AUTO,NSE,1
81153,BAJFINANCE,NSE,1
4268801,BAJAJFINSV,NSE,1
78081,BAJAJHLDNG,NSE,1
6469121,BAJAJHFL,NSE,1
1195009,BANKBARODA,NSE,1
98049,BEL,NSE,1
134657,BPCL,NSE,1
2714625,BHARTIARTL,NSE,1
558337,BOSCHLTD,NSE,1
140033,BRITANNIA,NSE,1
194561,CGPOWER,NSE,1
2763265,CANBK,NSE,1
175361,CHOLAFIN,NSE,1
177665,CIPLA,NSE,1
5215745,COALINDIA,NSE,1
3771393,DLF,NSE,1
197633,DABUR,NSE,1
2800641,DIVISLAB,NSE,1
225537,DRREDDY,NSE,1
232961,EICHERMOT,NSE,1
1304833,ETERNAL,NSE,1
1207553,GAIL,NSE,1
2585345,GODREJCP,NSE,1
315393,GRASIM,NSE,1
1850625,HCLTECH,NSE,1
341249,HDFCBANK,NSE,1
119553,HDFCLIFE,NSE,1
2513665,HAVELLS,NSE,1
345089,HEROMOTOCO,NSE,1
348929,HINDALCO,NSE,1
589569,HAL,NSE,1
356865,HINDUNILVR,NSE,1
6616065,HYUNDAI,NSE,1
1270529,ICICIBANK,NSE,1
5573121,ICICIGI,NSE,1
4774913,ICICIPRULI,NSE,1
424961,ITC,NSE,1
387073,INDHOTEL,NSE,1
415745,IOC,NSE,1
519425,IRFC,NSE,1
1346049,INDUSINDBK,NSE,1
3520257,NAUKRI,NSE,1
408065,INFY,NSE,1
2865921,INDIGO,NSE,1
4574465,JSWENERGY,NSE,1
3001089,JSWSTEEL,NSE,1
1723649,JINDALSTEL,NSE,1
4644609,JIOFIN,NSE,1
492033,KOTAKBANK,NSE,1
4561409,LTIM,NSE,1
2939649,LT,NSE,1
2426881,LICI,NSE,1
824321,LODHA,NSE,1
519937,M&M,NSE,1
2815745,MARUTI,NSE,1
2977281,NTPC,NSE,1
4598529,NESTLEIND,NSE,1
633601,ONGC,NSE,1
681985,PIDILITIND,NSE,1
3660545,PFC,NSE,1
3834113,POWERGRID,NSE,1
2730497,PNB,NSE,1
3930881,RECLTD,NSE,1
738561,RELIANCE,NSE,1
5582849,SBILIFE,NSE,1
1076225,MOTHERSON,NSE,1
794369,SHREECEM,NSE,1
1102337,SHRIRAMFIN,NSE,1
806401,SIEMENS,NSE,1
779521,SBIN,NSE,1
857857,SUNPHARMA,NSE,1
6928897,SWIGGY,NSE,1
2170625,TVSMOTOR,NSE,1
2953217,TCS,NSE,1
878593,TATACONSUM,NSE,1
884737,TATAMOTORS,NSE,1
877057,TATAPOWER,NSE,1
895745,TATASTEEL,NSE,1
3465729,TECHM,NSE,1
897537,TITAN,NSE,1
900609,TORNTPHARM,NSE,1
502785,TRENT,NSE,1
2952193,ULTRACEMCO,NSE,1
2674433,UNITDSPR,NSE,1
4843777,VBL,NSE,1
784129,VEDL,NSE,1
969473,WIPRO,NSE,1
2029825,ZYDUSLIFE,NSE,1
