tradingsymbol,exchange
HDFCBANK,NSE
INFY,NSE
ICICIBANK,NSE
ABB,NSE
ADANIENSOL,NSE
ADANIENT,NSE
ADANIGREEN,NSE
ADANIPORTS,NSE
ADANIPOWER,NSE
AMBUJACEM,NSE
APOLLOHOSP,NSE
ASIANPAINT,NSE
DMART,NSE
AXISBANK,NSE
BAJAJ-AUTO,NSE
BAJFINANCE,NSE
BAJAJFINSV,NSE
BAJAJHLDNG,NSE
BAJAJHFL,NSE
BANKBARODA,NSE
BEL,NSE
BPCL,NSE
BHARTIARTL,NSE
BOSCHLTD,NSE
BRITANNIA,NSE
CGPOWER,NSE
CANBK,NSE
CHOLAFIN,NSE
CIPLA,NSE
COALINDIA,NSE
DLF,NSE
DABUR,NSE
DIVISLAB,NSE
DRREDDY,NSE
EICHERMOT,NSE
ETERNAL,NSE
GAIL,NSE
GODREJCP,NSE
GRASIM,NSE
HCLTECH,NSE
HDFCBANK,NSE
HDFCLIFE,NSE
HAVELLS,NSE
HEROMOTOCO,NSE
HINDALCO,NSE
HAL,NSE
HINDUNILVR,NSE
HYUNDAI,NSE
ICICIBANK,NSE
ICICIGI,NSE
ICICIPRULI,NSE
ITC,NSE
INDHOTEL,NSE
IOC,NSE
IRFC,NSE
INDUSINDBK,NSE
NAUKRI,NSE
INFY,NSE
INDIGO,NSE
JSWENERGY,NSE
JSWSTEEL,NSE
JINDALSTEL,NSE
JIOFIN,NSE
KOTAKBANK,NSE
LTIM,NSE
LT,NSE
LICI,NSE
LODHA,NSE
M&M,NSE
MARUTI,NSE
NTPC,NSE
NESTLEIND,NSE
ONGC,NSE
PIDILITIND,NSE
PFC,NSE
POWERGRID,NSE
PNB,NSE
RECLTD,NSE
RELIANCE,NSE
SBILIFE,NSE
MOTHERSON,NSE
SHREECEM,NSE
SHRIRAMFIN,NSE
SIEMENS,NSE
SBIN,NSE
SUNPHARMA,NSE
SWIGGY,NSE
TVSMOTOR,NSE
TCS,NSE
TATACONSUM,NSE
TATAMOTORS,NSE
TATAPOWER,NSE
TATASTEEL,NSE
TECHM,NSE
TITAN,NSE
TORNTPHARM,NSE
TRENT,NSE
ULTRACEMCO,NSE
UNITDSPR,NSE
VBL,NSE
VEDL,NSE
WIPRO,NSE
ZYDUSLIFE,NSE
